Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
easy to access any service needed for house repair and cleaning. professional services just a click away.,services,Service quality,Positive,,,,,,,,,,,,,,,
"Not reliable at all, even if you book a week before no one will show up on time and the booking will get cancelled!! There are much better other reliable companies out there to serve you with professional services, if you rally want to spoil your day and have bad experience use Urban company....",services,Company's service,Negative,,,,,,,,,,,,,,,
The perfect app every must have ,app,App utility,Positive,,,,,,,,,,,,,,,
Urban company gives highly unprofessionl & below standerd painting service. Paint Stared peeling of post 20 days. The custumer supporrt is also very very slow. Concern was raised 2 weeks back still don't have resulation.,services,Service quality,Negative,Customer care,support,Negative,,,,,,,,,,,,
worst experience they charged for full house cleaning but they did not clean under furniture or move beds and after payment they charge extra money in cash,experience,Service quality,Negative,Cost, charge,Negative,,,,,,,,,,,,
"Really disappointed with painting services,were cancelled without prior notice.not expected from UC",services,Service quality,Negative,,,,,,,,,,,,,,,
Kindly remove the false claim of insurance protection from ur site as it is misleading and useless.On booking ur home cleaning service ur so called professional damaged one of my home appliance and because i was late(according to them)in registering a complaint on their site as ur customer care no.was unreachable they would not take appropriate action or provide compensation .In the future i will be thinking twice before booking any service from this app to avoid unecessary hassles.,services,Company's service,Negative,App utility,app,Negative,,,,,,,,,,,,
"The services are not clearly defined(inclusions and exclusions). For cleaning services, professionals take advantage of it. Example kitchen can be covered from 3 sides, but professionals will say that only 1 side to max 2 sides will be cleaned. very unprofessional services",services,Service quality,Negative,,,,,,,,,,,,,,,
Bath room cleaning. Peter informed sufficient chemicals are not provided by the urban company. 14/10/21,services,Service quality,Negative,,,,,,,,,,,,,,,
Excellent work by the team,work,Company's service,Positive,,,,,,,,,,,,,,,
"Horrible customer service !! I have opted for plus membership but most of the services are not available. Now they are not refunding the money , when I requested as there is no point of having membership if no service is available . Customer care response is pathetic.",services,Company's service,Negative,Service person attitude,arrogant,Negative,,,,,,,,,,,,
too arrogant and not interested in resolving customer issues and make their partner suffer,issues,Service quality,Negative,,,,,,,,,,,,,,,
"Cheater company, different rates are shown to different people. Don't ever buy their membership as you will end up paying more than what they discount.",membership,Company's service,Negative,Cost,paying,Negative,,,,,,,,,,,,
"Worst app, Scammer, I reffered my friend he didn't get 100rs , I also didn't get after he taken his first service, and they say that it is guaranteed ",app,App utility,Negative,Company's service,services,Negative,,,,,,,,,,,,
Horrable first experience with urban clap. Waiting for service provider since 1 hour but didn't receive any call and update. Also tried to call the service agent he didn't answer call and message. Wastage of time.,experience,Company's service,Negative,,,,,,,,,,,,,,,
Extremely unprofessional. No timely service. Pathetic customer support system. Would not recommend to anyone.,unprofessional,Service person's attitude,Negative,,,,,,,,,,,,,,,
Used to have  services earlier. Unprofessional service off late. Too costly and urban clap professionals force try to persuade you repeatedly for  ratings/reviews. No accountability for service partners for any delay/loss in service delivery. Ultimately customer would be the one who would suffer in the end.,unprofessional,Service person's attitude,Negative,Cost, costly,Negative,,,,,,,,,,,,
excellant and professional work punctual great work,professional,Company's service,Positive,,,,,,,,,,,,,,,
Services are  but very expensive.,expensive,Cost,Negative,,,,,,,,,,,,,,,
" service, perfect",services,Service quality,Positive,,,,,,,,,,,,,,,
Bad bad bad bad bad bad experience. Booked twice but no msgs no calls .first day automatically my appointment has been cancelled..next day again ihv booked then assigned executive telling my her tub is not working..waiting for her for one and hour then called her then shes telling me I can't find your location..now a days maps are so bloody easy..she's confused..no calls from urban clap itself to coordinate.no direct contact numbers so clients can directly contact..u have to submit complaint.,location,Service schedule,Negative,Company's service,services,Negative,,,,,,,,,,,,
you cannot contact customer care u have to wait for them to call back for any issue #we r stuck after prepaud paying UC,contact,App UI,Negative,Customer care,customer care,Negative,,,,,,,,,,,,
nice service and  response and very polite ,services,Company's service,Positive,Service person attitude,polite,Positive,,,,,,,,,,,,
2nd edit:I also subscribed to your membership program. Still got scammed. 2 Simple cheap tap leak repairs costed 900 rupees total. You guys are charging way more than you should I'll stick with bro4u. Download bro4u they don't charge service fees ahead of the service and charge service fees a second time again after the service is over. Yes I may have booked just one service on the app. But I was charged twice by you guys. Gimme my 500 back.,charging,Cost,Negative,,,,,,,,,,,,,,,
Had a very bad experience. Hence would rate 0 star,experiance,Company's service,Negative,,,,,,,,,,,,,,,
The service is terrible,services,Company's service,Negative,,,,,,,,,,,,,,,
The person came for cleaning was courteous and very well behaved person. He worked very efficiently. I would like to tell his to everyone. He is Mr. Amzad. He is a very nice person.,cleaning,Service quality,Positive,Service person attitude,well behaved,Positive,,,,,,,,,,,,
Totally amazing experience! Both me and my hubby! Ravi was polite and had a  experience of which body points to massage! The best part: so HYGENIC! AM SO TOTALLY USING UC AGAIN! PLEASE KEEP THIS QUALITY OF SERVICE THROUGHOUT,experience,Company's service,Positive,Service person attitude,polite,Positive,,,,,,,,,,,,
their service is excellent i personally loved it hats off guys keep doing the  work,service,Company's service,Positive,,,,,,,,,,,,,,,
"This is the first time I have been in a situation where the services were not delivered.. I had a 2 bookings on the same day.. one at 1000am...no1 turned up and after I followed up, by 1035am the call center agent informs me due to emergency leave the staff won't be coming and was rescheduled for 1300pm..again I followed up and by 1330pm I was informed the staff won't be coming this time either..this is by far the worst experience I have encountered...",expeience,Company's service,Negative,Service schedule,rescheduled,Negative,,,,,,,,,,,,
"I am fully satisfied, Praveen was extremely hardworking, and did his job to our full satisfaction",satisfied,Service person's attitude,Positive,,,,,,,,,,,,,,,
well done with cleaning,cleaning,Service quality,Positive,,,,,,,,,,,,,,,
awesome service,service,Company's service,Positive,,,,,,,,,,,,,,,
Really great app easy to use.well experienced staff.all payment options available,app,App utility,Positive,Service person attitude,experienced,Positive,,,,,,,,,,,,
"Not at all useful, waste of money and time also",useful,Company's service,Negative,Cost,money,Negative,,,,,,,,,,,,
"Very unprofessional service. Its the same unprofessional locals, dressed in nice uniforms. None existant customer support.",unprofessional,Service person's attitude,Negative,,,,,,,,,,,,,,,
Nice services on time,services,Company's service,Positive,,,,,,,,,,,,,,,
"Now urban company is not maintained that standards, nd work mind workers , simply creating headaches nd problems with their workers,",standard,Company's service,Negative,,,,,,,,,,,,,,,
 on video call but i will observe after maintenance my filter will work properly or not.,maintenance,Service quality,Negative,,,,,,,,,,,,,,,
very nice services,services,Company's service,Positive,,,,,,,,,,,,,,,
Mr. Jitendra is excellent professionally and as human being. This is third time he has come and every time he has provided best services. Client delight...... best wishes,professional,Service person's attitude,Positive,,,,,,,,,,,,,,,
